job_role,skills
Data Scientist,"Python, SQL, Machine Learning, Statistics, Data Analysis, Pandas"
DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD, Automation, Linux, Cloud Computing"
Backend Developer,"Java, Python, SQL, APIs, Databases, Git"
Cloud Architect,"AWS, Cloud Computing, Azure, Networking, Security, Automation"
Frontend Developer,"JavaScript, React, CSS, HTML, UI Design, Git"
Machine Learning Engineer,"Python, Machine Learning, TensorFlow, Neural Networks, Data Structures"
Database Administrator,"SQL, Databases, Data Structures, Security, Linux"
Full Stack Developer,"JavaScript, Python, SQL, React, APIs, Git"
Systems Administrator,"Linux, Networking, Automation, Security, Cloud Computing"
Site Reliability Engineer,"Kubernetes, Docker, Automation, CI/CD, Linux, Cloud Computing"
